name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8337129.00,7.080445,None,0.00,0.000001,18,20
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9132998.00,7.000699,None,0.00,0.000002,20,20
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5002075.00,6.742184,None,0.00,0.000002,10,21
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5834841.00,6.785224,None,0.00,0.000001,12,21
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6760227.00,6.865224,None,0.00,0.000002,14,21
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7525525.00,6.938173,None,0.00,0.000001,16,21
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8405069.00,7.003900,None,0.00,0.000001,18,21
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9122269.00,7.039067,None,0.00,0.000001,20,21
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),279828199.00,6.328974,None,0.00,0.000002,10,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),326937878.00,6.397232,None,0.00,0.000001,12,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),374492923.00,6.505657,None,0.00,0.000002,14,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),419568001.00,6.576324,None,0.00,0.000002,16,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),473159862.00,6.648557,None,0.00,0.000001,18,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),513596521.00,6.775849,None,0.00,0.000002,20,22
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),279544629.00,6.321910,None,0.00,0.000001,10,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),327744704.00,6.397697,None,0.00,0.000001,12,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),373830346.00,6.493342,None,0.00,0.000002,14,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),419541621.00,6.603078,None,0.00,0.000002,16,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),469971301.00,6.653222,None,0.00,0.000001,18,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),519213269.00,6.713909,None,0.00,0.000001,20,23
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),280172498.00,6.362307,None,0.00,0.000001,10,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),328434411.00,6.387900,None,0.00,0.000002,12,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),374861600.00,6.509280,None,0.00,0.000001,14,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),419918666.00,6.629400,None,0.00,0.000002,16,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),465591912.00,6.666048,None,0.00,0.000001,18,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),518867057.00,6.720710,None,0.00,0.000001,20,24
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),275201817.00,6.388109,None,0.00,0.000003,10,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),327341238.00,6.352658,None,0.00,0.000003,12,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),377846011.00,6.490615,None,0.00,0.000002,14,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),423003844.00,6.572348,None,0.00,0.000001,16,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),469740575.00,6.666748,None,0.00,0.000002,18,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),520142973.00,6.755658,None,0.00,0.000001,20,25
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),279995706.00,6.353530,None,0.00,0.000001,10,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),327198510.00,6.364770,None,0.00,0.000001,12,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),372530861.00,6.442011,None,0.00,0.000001,14,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),422051449.00,6.601006,None,0.00,0.000003,16,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),466201284.00,6.622999,None,0.00,0.000001,18,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),516574418.00,6.738049,None,0.00,0.000001,20,26
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),278262356.00,6.321050,None,0.00,0.000002,10,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),334136688.00,6.387770,None,0.00,0.000002,12,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),375999667.00,6.554692,None,0.00,0.000001,14,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),423257955.00,6.554021,None,0.00,0.000001,16,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),468167381.00,6.692280,None,0.00,0.000001,18,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),510215263.00,6.751271,None,0.00,0.000002,20,27
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),283704178.00,6.265207,None,0.00,0.000001,10,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),327110549.00,6.420847,None,0.00,0.000002,12,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),375987709.00,6.642830,None,0.00,0.000002,14,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),424429912.00,6.618319,None,0.00,0.000001,16,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),470348086.00,6.684481,None,0.00,0.000001,18,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),518151787.00,6.751970,None,0.00,0.000001,20,28
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),279476609.00,6.329086,None,0.00,0.000002,10,29
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),324765685.00,6.370526,None,0.00,0.000002,12,29
instances/large/usa13509.tsp,13509,Random Double-sided nearest neighbor (RDSNN),375152306.00,6.504782,None,0.00,0.000001,14,29
